customer_id,customer_name,email,phone_number,address_line_1,city,country,postcode,loyalty_card,PhoneNumberValid
17670-51384-MA,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,US,7505,Yes,True
73342-18763-UW,Piotr Bote,pbote1@yelp.com,+353 (913) 396-4653,2112 Ridgeway Hill,Crumlin,IR,D6W,No,True
21125-22134-PX,Jami Redholes,jredholes2@tmall.com,+1 (210) 986-6806,5214 Bartillon Park,San Antonio,US,78205,Yes,True
71253-00052-RN,Dene Azema,dazema3@facebook.com,+1 (217) 418-0714,27 Maywood Place,Springfield,US,62711,Yes,True
23806-46781-OU,Christoffer O' Shea,No email,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,IR,N41,No,True
86561-91660-RB,Beryle Cottier,No email,+1 (570) 289-7473,2651 Stoughton Place,Scranton,US,18505,No,True
65223-29612-CB,Shaylynn Lobe,slobe6@nifty.com,+1 (937) 954-4541,7005 Mariners Cove Place,Dayton,US,45440,Yes,True
21134-81676-FR,Melvin Wharfe,No email,+353 (507) 574-3034,7 Straubel Road,Kill,IR,P24,Yes,True
03396-68805-ZC,Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,949 Paget Parkway,Los Angeles,US,90045,No,True
61021-27840-ZN,Rodger Raven,rraven9@ed.gov,+1 (213) 263-0288,1 Reinke Avenue,Los Angeles,US,90065,No,True
76239-90137-UQ,Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,68 High Crossing Court,San Jose,US,95160,No,True
49315-21985-BB,Duky Phizackerly,dphizackerlyb@utexas.edu,+1 (408) 533-6012,28643 Bluejay Crossing,San Jose,US,95194,Yes,True
34136-36674-OM,Rosaleen Scholar,rscholarc@nyu.edu,+1 (804) 420-0420,80915 Montana Park,Richmond,US,23285,No,True
39396-12890-PE,Terence Vanyutin,tvanyutind@wix.com,No phone number,331 Bunting Hill,Migrate,US,41905,No,False
95875-73336-RG,Patrice Trobe,ptrobee@wunderground.com,+1 (314) 240-7896,827 Declaration Plaza,Saint Louis,US,63131,Yes,True
25473-43727-BY,Llywellyn Oscroft,loscroftf@ebay.co.uk,No phone number,022 Roth Place,Philadelphia,US,19172,No,False
99643-51048-IQ,Minni Alabaster,malabasterg@hexun.com,+1 (971) 483-6255,3 Charing Cross Trail,Portland,US,97271,No,True
62173-15287-CU,Rhianon Broxup,rbroxuph@jimdo.com,+1 (713) 663-1338,83517 Thierer Court,Houston,US,77240,No,True
57611-05522-ST,Pall Redford,predfordi@ow.ly,No phone number,7337 Hayes Junction,Caherconlish,IR,F45,Yes,False
76664-37050-DT,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,US,10060,Yes,True
84565-53984-SX,Kendal Scardefield,No email,+353 (733) 405-3302,3 Northridge Crossing,Clondalkin,IR,D24,Yes,True
03090-88267-BQ,Avrit Davidowsky,adavidowskyl@netvibes.com,+1 (616) 481-9962,9 Warrior Junction,Grand Rapids,US,49560,No,True
37651-47492-NC,Annabel Antuk,aantukm@kickstarter.com,+1 (941) 740-6268,77965 Lawn Park,Punta Gorda,US,33982,Yes,True
95399-57205-HI,Iorgo Kleinert,ikleinertn@timesonline.co.uk,+1 (360) 352-6598,1 Morningstar Lane,Vancouver,US,98682,Yes,True
