order_id,order_date,customer_id,product_id,quantity,customer_name,email,phone_number,address_line_1,city,country,postcode,loyalty_card,PhoneNumberValid,coffee_type,roast_type,size,unit_price,price_per_100g,profit,day,month_name,year
AAQ-13644-699,2022-06-03,46296-42617-OQ,R-D-1,4,Fernando Sulman,fsulmanl0@washington.edu,+1 (828) 464-2678,45 Village Terrace,Asheville,US,28805,Yes,True,Rob,D,1.0,8.95,0.895,0.537,Friday,June,2022
ABK-08091-531,2020-10-30,53864-36201-FG,L-L-1,3,Tess Benediktovich,tbenediktovichmv@ebay.com,+1 (505) 523-8113,1068 Sutherland Plaza,Albuquerque,US,87140,Yes,True,Lib,L,1.0,15.85,1.585,2.0605,Friday,October,2020
ABO-29054-365,2019-01-19,00256-19905-YG,A-M-0.5,6,Stanislaus Valsler,No email,+353 (479) 865-9222,95 Southridge Alley,Castlebridge,IR,R14,No,True,Ara,M,0.5,6.75,1.35,0.6075,Saturday,January,2019
ACY-56225-839,2021-01-28,47386-50743-FG,A-M-2.5,3,Kynthia Berick,No email,+1 (562) 331-4713,1678 Armistice Alley,San Francisco,US,94110,Yes,True,Ara,M,2.5,25.875,1.035,2.32875,Thursday,January,2021
ADP-04506-084,2021-07-24,61809-87758-LJ,E-M-2.5,6,Hatty Dovydenas,No email,+1 (281) 416-9557,227 Huxley Hill,Amarillo,US,79176,Yes,True,Exc,M,2.5,31.625,1.265,3.47875,Saturday,July,2021
ADX-50674-975,2021-02-03,58916-61837-QH,A-M-2.5,4,Freda Hollows,fhollowsc8@blogtalkradio.com,+1 (716) 632-6865,353 Portage Center,Buffalo,US,14205,Yes,True,Ara,M,2.5,25.875,1.035,2.32875,Wednesday,February,2021
AEL-51169-725,2020-02-03,37430-29579-HD,L-M-0.2,6,Eveleen Bletsor,ebletsor8l@vinaora.com,+1 (860) 182-4246,9076 Manley Center,West Hartford,US,6127,Yes,True,Lib,M,0.2,4.365,2.1825,0.56745,Monday,February,2020
AEZ-13242-456,2022-05-04,62494-09113-RP,R-M-0.5,5,Marguerite Graves,No email,+1 (479) 204-9111,91413 Scott Way,Fort Smith,US,72905,No,True,Rob,M,0.5,5.97,1.194,0.3582,Wednesday,May,2022
AGQ-06534-750,2019-04-24,52798-46508-HP,A-L-1,5,Kevan Grinsted,kgrinstedj4@google.com.br,+353 (773) 225-6216,3 Kennedy Plaza,Tallaght,IR,D24,No,True,Ara,L,1.0,12.95,1.295,1.1655,Wednesday,April,2019
AHQ-40440-522,2020-09-18,83833-46106-ZC,A-D-1,1,Martie Brimilcombe,mbrimilcombele@cnn.com,No phone number,2260 Kinsman Junction,Springfield,US,22156,No,False,Ara,D,1.0,9.95,0.995,0.8955,Friday,September,2020
AHV-66988-037,2020-09-08,12743-00952-KO,R-M-2.5,2,Christel Speak,No email,+1 (678) 222-0967,8 Crowley Place,Duluth,US,30096,No,True,Rob,M,2.5,22.885,0.9154,1.3731,Tuesday,September,2020
AHY-20324-088,2020-09-06,63499-24884-PP,L-L-0.2,2,Nicky Ayris,nayrisix@t-online.de,+44 (627) 552-5656,7 Reinke Circle,Kinloch,UK,PH43,Yes,True,Lib,L,0.2,4.755,2.3775,0.61815,Sunday,September,2020
AIA-98989-755,2020-05-09,34704-83143-KS,R-M-0.2,1,Sacha Bruun,sbruunjt@blogtalkradio.com,+1 (209) 784-1969,44 Northview Lane,Stockton,US,95210,No,True,Rob,M,0.2,2.985,1.4925,0.1791,Saturday,May,2020
AJL-52941-018,2020-05-05,55871-61935-MF,E-D-1,2,Lind Conyers,lconyers2y@twitter.com,+1 (915) 476-5712,778 Summer Ridge Junction,El Paso,US,88514,No,True,Exc,D,1.0,12.15,1.215,1.3365,Tuesday,May,2020
AJV-18231-334,2020-07-05,23473-41001-CD,R-D-2.5,2,Agnes Adamides,aadamidesco@bizjournals.com,+44 (131) 485-2183,6338 Arkansas Drive,Liverpool,UK,L74,No,True,Rob,D,2.5,20.585,0.8234,1.2351,Sunday,July,2020
AKV-93064-769,2019-12-12,22305-40299-CY,L-D-0.5,1,Terry Sheryn,tsheryn31@mtv.com,+1 (516) 826-3780,58147 Eagle Crest Court,Port Washington,US,11054,Yes,True,Lib,D,0.5,7.77,1.554,1.0101,Thursday,December,2019
ALA-62598-016,2020-02-19,57145-03803-ZL,R-D-0.2,6,Noak Wyvill,nwyvill6b@naver.com,+44 (872) 383-2829,47 Declaration Alley,Edinburgh,UK,EH9,Yes,True,Rob,D,0.2,2.685,1.3425,0.1611,Wednesday,February,2020
ALM-80762-974,2020-03-23,84045-66771-SL,A-L-0.5,3,Charlean Keave,ckeaver1@ucoz.com,+1 (850) 410-9647,08019 Fairfield Pass,Pensacola,US,32575,No,True,Ara,L,0.5,7.77,1.554,0.6993,Monday,March,2020
